Наименование,Среднегодовая доходность от круглогодичного владения,Среднегодовая доходность при покупке/продаже,Результат
Акрон, 1.298345, 1.181302,Круглогодичное владение
Аэрофлот, 1.107511, 1.108318,Покупка/продажа рядом с выплатой дивидендов
БСП ао, 1.061430, 1.070236,Покупка/продажа рядом с выплатой дивидендов
ВТБ ао, 0.964991, 1.054549,Покупка/продажа рядом с выплатой дивидендов
Газпрнефть, 1.124839, 1.102785,Круглогодичное владение
ГАЗПРОМ ао, 1.062989, 1.067044,Покупка/продажа рядом с выплатой дивидендов
ГМКНорНик, 1.190054, 1.157372,Круглогодичное владение
ИнтерРАОао, 1.093032, 1.191335,Покупка/продажа рядом с выплатой дивидендов
ИркЭнерго, 1.044598, 1.053967,Покупка/продажа рядом с выплатой дивидендов
КАМАЗ, 1.037397, 1.181589,Покупка/продажа рядом с выплатой дивидендов
Красэсб ао, 1.196595, 1.195889,Круглогодичное владение
Лензол. ап, 1.391195, 1.274393,Круглогодичное владение
Лензолото, 1.484202, 1.562960,Покупка/продажа рядом с выплатой дивидендов
Ленэнерго, 0.953459, 1.101433,Покупка/продажа рядом с выплатой дивидендов
Ленэнерг-п, 1.337460, 1.171345,Круглогодичное владение
ЛСР ао, 1.065519, 1.197468,Покупка/продажа рядом с выплатой дивидендов
ЛУКОЙЛ, 1.120876, 1.141586,Покупка/продажа рядом с выплатой дивидендов
Магнит ао, 1.136251, 1.172633,Покупка/продажа рядом с выплатой дивидендов
М.видео, 1.228069, 1.087771,Круглогодичное владение
МГТС-4ап, 1.209315, 1.107581,Круглогодичное владение
МГТС-5ао, 1.203142, 1.158580,Круглогодичное владение
Мечел ао, 1.087297, 1.016167,Круглогодичное владение
ММК, 1.152436, 1.148873,Круглогодичное владение
+МосЭнерго, 1.042020, 1.073730,Покупка/продажа рядом с выплатой дивидендов
МОЭСК, 1.028274, 1.089678,Покупка/продажа рядом с выплатой дивидендов
МРСК СЗ, 0.932537, 1.240244,Покупка/продажа рядом с выплатой дивидендов
МРСК СК, 0.942540, 1.150665,Покупка/продажа рядом с выплатой дивидендов
МРСК Ур, 1.024700, 1.156560,Покупка/продажа рядом с выплатой дивидендов
МРСК Центр, 1.030023, 1.140434,Покупка/продажа рядом с выплатой дивидендов
МРСК ЦП, 1.173774, 1.189727,Покупка/продажа рядом с выплатой дивидендов
МРСКВол, 1.094556, 1.261939,Покупка/продажа рядом с выплатой дивидендов
МРСКСиб, 1.091446, 1.152119,Покупка/продажа рядом с выплатой дивидендов
МРСКЮга ао, 0.913715, 1.337920,Покупка/продажа рядом с выплатой дивидендов
МТС-ао, 1.081936, 1.097386,Покупка/продажа рядом с выплатой дивидендов
НКНХ ао, 1.247598, 1.143036,Круглогодичное владение
НКНХ ап, 1.417265, 1.188831,Круглогодичное владение
НЛМК ао, 1.142220, 1.154131,Покупка/продажа рядом с выплатой дивидендов
НМТП ао, 1.168148, 1.246972,Покупка/продажа рядом с выплатой дивидендов
Новатэк ао, 1.189185, 1.169520,Круглогодичное владение
ОГК-2 ао, 1.075243, 1.153421,Покупка/продажа рядом с выплатой дивидендов
ПИК ао, 1.220666, 1.304744,Покупка/продажа рядом с выплатой дивидендов
Распадская, 1.246645, 1.189771,Круглогодичное владение
Роснефть, 1.073567, 1.115727,Покупка/продажа рядом с выплатой дивидендов
Ростел -ао, 0.942692, 1.094320,Покупка/продажа рядом с выплатой дивидендов
Ростел -ап, 1.017241, 1.101336,Покупка/продажа рядом с выплатой дивидендов
РусГидро, 0.974114, 1.109233,Покупка/продажа рядом с выплатой дивидендов
Сбербанк, 1.127251, 1.129689,Покупка/продажа рядом с выплатой дивидендов
Сбербанк-п, 1.160964, 1.111491,Круглогодичное владение
СевСт-ао, 1.230684, 1.178611,Круглогодичное владение
Система ао, 1.098831, 1.151432,Покупка/продажа рядом с выплатой дивидендов
СОЛЛЕРС, 0.996273, 1.168018,Покупка/продажа рядом с выплатой дивидендов
Сургнфгз, 1.022603, 1.052524,Покупка/продажа рядом с выплатой дивидендов
Сургнфгз-п, 1.134370, 1.082150,Круглогодичное владение
Татнфт 3ао, 1.119319, 1.155076,Покупка/продажа рядом с выплатой дивидендов
Татнфт 3ап, 1.207372, 1.149280,Круглогодичное владение
Таттел. ао, 1.133844, 1.075887,Круглогодичное владение
ТГК-1, 1.095963, 1.110640,Покупка/продажа рядом с выплатой дивидендов
Телеграф, 1.115154, 1.163132,Покупка/продажа рядом с выплатой дивидендов
ТМК ао, 1.015081, 1.140699,Покупка/продажа рядом с выплатой дивидендов
Транснф ап, 1.146606, 1.133344,Круглогодичное владение
ФСК ЕЭС ао, 1.088086, 1.158350,Покупка/продажа рядом с выплатой дивидендов
ЧеркизГ-ао, 1.197556, 1.148692,Круглогодичное владение
ЧТПЗ ао, 1.196920, 1.213235,Покупка/продажа рядом с выплатой дивидендов
