DATE_M,MCFTR_RATE
11.01.2009,680.36
12.01.2009,699.51
13.01.2009,702.55
14.01.2009,654.51
15.01.2009,649.50
16.01.2009,652.65
19.01.2009,629.43
20.01.2009,611.04
21.01.2009,625.59
22.01.2009,597.90
23.01.2009,593.67
26.01.2009,657.94
27.01.2009,646.51
28.01.2009,667.57
29.01.2009,664.04
30.01.2009,670.10
02.02.2009,671.72
03.02.2009,671.30
04.02.2009,681.89
05.02.2009,668.27
06.02.2009,703.55
09.02.2009,749.22
10.02.2009,780.67
11.02.2009,779.27
12.02.2009,740.28
13.02.2009,785.17
16.02.2009,763.49
17.02.2009,691.85
18.02.2009,673.37
19.02.2009,693.29
20.02.2009,677.35
24.02.2009,674.94
25.02.2009,678.66
26.02.2009,721.27
27.02.2009,714.57
02.03.2009,693.90
03.03.2009,701.79
04.03.2009,735.60
05.03.2009,720.85
06.03.2009,739.05
10.03.2009,804.84
11.03.2009,792.78
12.03.2009,781.28
13.03.2009,803.87
16.03.2009,818.31
17.03.2009,828.71
18.03.2009,797.18
19.03.2009,842.12
20.03.2009,849.75
23.03.2009,911.72
24.03.2009,875.21
25.03.2009,913.36
26.03.2009,911.41
27.03.2009,874.66
30.03.2009,818.97
31.03.2009,829.23
01.04.2009,844.56
02.04.2009,898.95
03.04.2009,898.98
06.04.2009,896.99
07.04.2009,904.77
08.04.2009,936.31
09.04.2009,989.89
10.04.2009,994.93
13.04.2009,970.77
14.04.2009,985.52
15.04.2009,972.00
16.04.2009,983.90
17.04.2009,1000.86
20.04.2009,946.78
21.04.2009,941.11
22.04.2009,970.87
23.04.2009,995.75
24.04.2009,990.22
27.04.2009,968.19
28.04.2009,952.13
29.04.2009,989.17
30.04.2009,987.39
04.05.2009,1027.54
05.05.2009,1026.76
06.05.2009,1057.95
07.05.2009,1085.36
08.05.2009,1103.86
12.05.2009,1136.72
13.05.2009,1081.30
14.05.2009,1073.51
15.05.2009,1075.19
18.05.2009,1086.67
19.05.2009,1117.73
20.05.2009,1174.47
21.05.2009,1109.72
22.05.2009,1130.81
25.05.2009,1127.50
26.05.2009,1116.72
27.05.2009,1136.78
28.05.2009,1153.33
29.05.2009,1205.21
01.06.2009,1294.06
02.06.2009,1285.89
03.06.2009,1190.01
04.06.2009,1202.08
05.06.2009,1227.62
08.06.2009,1201.93
09.06.2009,1194.96
10.06.2009,1216.27
11.06.2009,1221.45
15.06.2009,1157.25
16.06.2009,1180.13
17.06.2009,1115.74
18.06.2009,1095.90
19.06.2009,1091.97
22.06.2009,1006.84
23.06.2009,984.64
24.06.2009,1057.16
25.06.2009,1031.71
26.06.2009,1030.65
29.06.2009,1061.93
30.06.2009,1042.88
01.07.2009,1086.81
02.07.2009,1048.82
03.07.2009,1045.58
06.07.2009,993.13
07.07.2009,995.07
08.07.2009,970.99
09.07.2009,961.99
10.07.2009,935.30
13.07.2009,945.84
14.07.2009,956.85
15.07.2009,1010.31
16.07.2009,1007.65
17.07.2009,1037.11
20.07.2009,1058.18
21.07.2009,1076.51
22.07.2009,1052.71
23.07.2009,1107.09
24.07.2009,1102.34
27.07.2009,1112.96
28.07.2009,1078.01
29.07.2009,1061.37
30.07.2009,1125.54
31.07.2009,1132.90
03.08.2009,1182.00
04.08.2009,1185.38
05.08.2009,1166.09
06.08.2009,1174.52
07.08.2009,1199.70
10.08.2009,1184.41
11.08.2009,1150.12
12.08.2009,1168.51
13.08.2009,1183.74
14.08.2009,1153.81
17.08.2009,1113.64
18.08.2009,1113.70
19.08.2009,1112.22
20.08.2009,1143.19
21.08.2009,1189.63
24.08.2009,1205.22
25.08.2009,1200.17
26.08.2009,1182.88
27.08.2009,1161.67
28.08.2009,1195.31
31.08.2009,1174.72
01.09.2009,1188.71
02.09.2009,1158.28
03.09.2009,1176.60
04.09.2009,1167.84
07.09.2009,1196.18
08.09.2009,1236.94
09.09.2009,1247.85
10.09.2009,1241.58
11.09.2009,1264.20
14.09.2009,1263.98
15.09.2009,1295.20
16.09.2009,1309.94
17.09.2009,1296.44
18.09.2009,1299.92
21.09.2009,1253.40
22.09.2009,1294.07
23.09.2009,1289.67
24.09.2009,1266.47
25.09.2009,1277.87
28.09.2009,1299.74
29.09.2009,1304.65
30.09.2009,1287.92
01.10.2009,1303.24
02.10.2009,1264.93
05.10.2009,1267.45
