DATE_I,MCFTR_RATE
11.01.2009,1631.18
12.01.2009,1675.82
13.01.2009,1681.84
14.01.2009,1565.65
15.01.2009,1552.49
16.01.2009,1558.84
19.01.2009,1499.98
20.01.2009,1455.05
21.01.2009,1488.58
22.01.2009,1421.61
23.01.2009,1410.49
26.01.2009,1559.65
27.01.2009,1531.4
28.01.2009,1580.09
29.01.2009,1570.54
30.01.2009,1583.68
02.02.2009,1584.19
03.02.2009,1582.27
04.02.2009,1606.29
05.02.2009,1573.29
06.02.2009,1655.38
09.02.2009,1759.75
10.02.2009,1832.54
11.02.2009,1828.19
12.02.2009,1735.7
13.02.2009,1839.88
16.02.2009,1785.94
17.02.2009,1617.42
18.02.2009,1573.29
19.02.2009,1618.89
20.02.2009,1580.74
24.02.2009,1571.44
25.02.2009,1579.18
26.02.2009,1677.35
27.02.2009,1660.8
02.03.2009,1610.2
03.03.2009,1627.82
04.03.2009,1705.53
05.03.2009,1670.63
06.03.2009,1712.09
10.03.2009,1861.37
11.03.2009,1832.71
12.03.2009,1805.37
13.03.2009,1856.79
16.03.2009,1887.76
17.03.2009,1910.95
18.03.2009,1837.47
19.03.2009,1940.24
20.03.2009,1957
23.03.2009,2097.08
24.03.2009,2012.25
25.03.2009,2099.09
26.03.2009,2093.72
27.03.2009,2008.46
30.03.2009,1878.21
31.03.2009,1900.94
01.04.2009,1935.27
02.04.2009,2059.43
03.04.2009,2059.03
06.04.2009,2053.06
07.04.2009,2070.39
08.04.2009,2142.07
09.04.2009,2264.14
10.04.2009,2275.14
13.04.2009,2218.37
14.04.2009,2251.56
15.04.2009,2220.16
16.04.2009,2246.83
17.04.2009,2285.03
20.04.2009,2160.08
21.04.2009,2146.65
22.04.2009,2214.02
23.04.2009,2270.24
24.04.2009,2257.12
27.04.2009,2205.38
28.04.2009,2168.3
29.04.2009,2252.14
30.04.2009,2247.57
04.05.2009,2337.14
05.05.2009,2334.94
06.05.2009,2405.43
07.05.2009,2467.3
08.05.2009,2508.89
12.05.2009,2581.68
13.05.2009,2455.37
14.05.2009,2437.23
15.05.2009,2440.6
18.05.2009,2465.3
19.05.2009,2535.3
20.05.2009,2663.51
21.05.2009,2516.21
22.05.2009,2563.56
25.05.2009,2554.65
26.05.2009,2529.76
27.05.2009,2574.73
28.05.2009,2611.74
29.05.2009,2728.72
01.06.2009,2928.27
02.06.2009,2909.2
03.06.2009,2691.75
04.06.2009,2718.51
05.06.2009,2775.71
08.06.2009,2716
09.06.2009,2699.71
10.06.2009,2747.31
11.06.2009,2758.46
15.06.2009,2611.39
16.06.2009,2662.49
17.06.2009,2516.72
18.06.2009,2471.47
19.06.2009,2462.12
22.06.2009,2268.81
23.06.2009,2218.35
24.06.2009,2381.26
25.06.2009,2323.47
26.06.2009,2320.62
29.06.2009,2389.62
30.06.2009,2346.28
01.07.2009,2444.63
02.07.2009,2358.7
03.07.2009,2350.93
06.07.2009,2231.65
07.07.2009,2235.55
08.07.2009,2181.01
09.07.2009,2160.36
10.07.2009,2099.99
13.07.2009,2122.37
14.07.2009,2146.64
15.07.2009,2266.11
16.07.2009,2259.69
17.07.2009,2325.28
20.07.2009,2371.08
21.07.2009,2411.67
22.07.2009,2357.87
23.07.2009,2479.17
24.07.2009,2468.03
27.07.2009,2490.3
28.07.2009,2411.61
29.07.2009,2373.9
30.07.2009,2516.91
31.07.2009,2532.86
03.08.2009,2642.1
04.08.2009,2649.65
05.08.2009,2606.54
06.08.2009,2625.38
07.08.2009,2681.66
10.08.2009,2647.49
11.08.2009,2570.84
12.08.2009,2611.94
13.08.2009,2645.99
14.08.2009,2579.09
17.08.2009,2489.3
18.08.2009,2489.43
19.08.2009,2486.12
20.08.2009,2555.35
21.08.2009,2659.15
24.08.2009,2694
25.08.2009,2682.71
26.08.2009,2644.07
27.08.2009,2596.66
28.08.2009,2671.85
31.08.2009,2625.83
01.09.2009,2657.1
02.09.2009,2589.1
03.09.2009,2630.08
04.09.2009,2610.53
07.09.2009,2673.96
08.09.2009,2765.1
09.09.2009,2789.52
10.09.2009,2775.53
11.09.2009,2826.12
14.09.2009,2825.71
15.09.2009,2895.54
16.09.2009,2928.52
17.09.2009,2898.37
18.09.2009,2906.18
21.09.2009,2802.26
22.09.2009,2893.21
23.09.2009,2883.41
24.09.2009,2831.56
25.09.2009,2857.08
28.09.2009,2906.07
29.09.2009,2917.07
30.09.2009,2879.69
01.10.2009,2913.98
02.10.2009,2828.32
05.10.2009,2833.95
06.10.2009,2935.64
07.10.2009,2949.42
08.10.2009,3075.35
09.10.2009,3146.58
12.10.2009,3265.16
13.10.2009,3176.79
14.10.2009,3278.19
15.10.2009,3227.17
16.10.2009,3168.05
19.10.2009,3283.92
20.10.2009,3275.53
21.10.2009,3303.08
22.10.2009,3269.07
23.10.2009,3283.56
26.10.2009,3267.26
27.10.2009,3207.16
28.10.2009,3014.8
29.10.2009,3107.72
30.10.2009,2975.89
02.11.2009,3046.07
03.11.2009,2930.63
05.11.2009,3026.44
06.11.2009,2986.28
09.11.2009,3136.13
10.11.2009,3179.53
11.11.2009,3163.34
12.11.2009,3162.05
13.11.2009,3148.5
16.11.2009,3279.5
17.11.2009,3251.39
18.11.2009,3294.83
19.11.2009,3207.32
20.11.2009,3203.73
23.11.2009,3252.96
24.11.2009,3195.22
25.11.2009,3149.19
26.11.2009,3045.32
27.11.2009,3086.11
30.11.2009,3082.6
01.12.2009,3164.82
02.12.2009,3179.78
03.12.2009,3144.15
04.12.2009,3219.28
07.12.2009,3168.89
08.12.2009,3141.83
09.12.2009,3120.79
10.12.2009,3125.74
11.12.2009,3117.47
14.12.2009,3154.56
15.12.2009,3190.78
16.12.2009,3325.17
17.12.2009,3257.43
18.12.2009,3276.02
21.12.2009,3297.47
22.12.2009,3268.91
23.12.2009,3269.93
24.12.2009,3232.2
25.12.2009,3245.93
28.12.2009,3255.33
29.12.2009,3271.47
30.12.2009,3255.49
31.12.2009,3274.18
11.01.2010,3463.47
12.01.2010,3420.65
13.01.2010,3436.45
14.01.2010,3484.04
15.01.2010,3475.07
18.01.2010,3533.78
19.01.2010,3542.66
20.01.2010,3486.39
21.01.2010,3424.16
22.01.2010,3361.55
25.01.2010,3369.29
26.01.2010,3293.63
27.01.2010,3307.25
28.01.2010,3347.68
29.01.2010,3377.08
01.02.2010,3366.03
02.02.2010,3411.62
03.02.2010,3397.39
04.02.2010,3312.81
05.02.2010,3216.33
08.02.2010,3133.99
09.02.2010,3170.98
10.02.2010,3144.15
11.02.2010,3148.17
12.02.2010,3089.23
15.02.2010,3120.37
16.02.2010,3219.36
17.02.2010,3200.88
18.02.2010,3163.72
19.02.2010,3198.12
24.02.2010,3147.92
25.02.2010,3080.75
26.02.2010,3120.5
27.02.2010,3140.56
01.03.2010,3194.31
02.03.2010,3221.49
03.03.2010,3247.27
04.03.2010,3258.67
05.03.2010,3328.43
09.03.2010,3321.45
10.03.2010,3296.8
11.03.2010,3281.01
12.03.2010,3326.96
15.03.2010,3288.39
16.03.2010,3336.03
17.03.2010,3369.51
18.03.2010,3364.47
19.03.2010,3334.78
22.03.2010,3324.45
23.03.2010,3307.5
24.03.2010,3293.14
25.03.2010,3296.91
26.03.2010,3317.04
29.03.2010,3372.78
30.03.2010,3380.56
31.03.2010,3394.71
01.04.2010,3463.09
02.04.2010,3463.94
05.04.2010,3480.22
06.04.2010,3505.83
07.04.2010,3458.23
08.04.2010,3453.57
09.04.2010,3500.68
12.04.2010,3513.19
13.04.2010,3505.09
14.04.2010,3568.49
15.04.2010,3578.25
16.04.2010,3494.13
19.04.2010,3409.21
20.04.2010,3443.34
21.04.2010,3424.19
22.04.2010,3371.3
23.04.2010,3427.63
26.04.2010,3465.48
27.04.2010,3418.24
28.04.2010,3338.8
29.04.2010,3396.52
30.04.2010,3351.61
04.05.2010,3249.43
05.05.2010,3214.76
06.05.2010,3183.24
07.05.2010,3004.32
11.05.2010,3108.49
12.05.2010,3242.46
13.05.2010,3211.27
14.05.2010,3148.58
17.05.2010,3159.28
18.05.2010,3170.55
19.05.2010,3073.65
20.05.2010,2940.76
21.05.2010,2942.43
24.05.2010,2951.38
25.05.2010,2783.57
26.05.2010,2940.68
27.05.2010,3035.06
28.05.2010,3041.77
31.05.2010,3094.96
01.06.2010,3078.7
02.06.2010,3114.88
03.06.2010,3135.93
04.06.2010,3096.07
07.06.2010,3068.2
08.06.2010,3020.03
09.06.2010,3051.46
10.06.2010,3108.98
11.06.2010,3099.3
15.06.2010,3179.35
16.06.2010,3174.93
17.06.2010,3143.45
18.06.2010,3169.76
21.06.2010,3257.73
22.06.2010,3215.37
23.06.2010,3191.47
24.06.2010,3156.73
25.06.2010,3120.26
28.06.2010,3156.86
29.06.2010,3063.6
30.06.2010,3030.84
01.07.2010,2903.93
02.07.2010,2980.88
05.07.2010,2989.43
06.07.2010,3071.74
07.07.2010,3071.71
08.07.2010,3054.86
09.07.2010,3062.66
12.07.2010,3108.76
13.07.2010,3162.36
14.07.2010,3140.48
15.07.2010,3097.59
16.07.2010,3067.99
19.07.2010,3087.71
20.07.2010,3069.25
21.07.2010,3129.78
22.07.2010,3190.7
23.07.2010,3189.16
26.07.2010,3225.13
27.07.2010,3235.46
28.07.2010,3219.69
29.07.2010,3273.47
30.07.2010,3224.1
02.08.2010,3297.14
03.08.2010,3257.11
04.08.2010,3270.43
05.08.2010,3262.01
06.08.2010,3234.75
09.08.2010,3270.18
10.08.2010,3219.98
11.08.2010,3171.55
12.08.2010,3167.9
13.08.2010,3157.95
16.08.2010,3160.33
17.08.2010,3201.75
18.08.2010,3191.21
19.08.2010,3163.75
20.08.2010,3142.97
23.08.2010,3142.32
24.08.2010,3079.83
25.08.2010,3073.01
26.08.2010,3122.59
27.08.2010,3145.22
30.08.2010,3153.38
31.08.2010,3148.52
01.09.2010,3206.99
02.09.2010,3222.74
03.09.2010,3241.03
06.09.2010,3234.83
07.09.2010,3211.09
08.09.2010,3263.87
09.09.2010,3298.27
10.09.2010,3289.11
13.09.2010,3304.13
14.09.2010,3284.06
15.09.2010,3290.39
16.09.2010,3277.36
17.09.2010,3245.68
20.09.2010,3263.97
21.09.2010,3279.21
22.09.2010,3272.15
23.09.2010,3268.75
24.09.2010,3281.41
27.09.2010,3238.96
28.09.2010,3218.52
29.09.2010,3238.31
30.09.2010,3285.6
01.10.2010,3319.64
04.10.2010,3339.6
05.10.2010,3359.43
06.10.2010,3361.37
07.10.2010,3345.32
08.10.2010,3336.49
11.10.2010,3374.6
12.10.2010,3364.2
13.10.2010,3398.78
14.10.2010,3388.78
15.10.2010,3393.74
18.10.2010,3412.97
19.10.2010,3389.31
20.10.2010,3395.57
21.10.2010,3473.73
22.10.2010,3453.15
25.10.2010,3471.81
26.10.2010,3463.5
27.10.2010,3422.56
28.10.2010,3420.99
29.10.2010,3458.54
01.11.2010,3480.4
02.11.2010,3487.55
03.11.2010,3493.06
08.11.2010,3552.12
09.11.2010,3611.09
10.11.2010,3564.63
11.11.2010,3522.48
12.11.2010,3504.65
13.11.2010,3485.92
15.11.2010,3518.13
16.11.2010,3450.42
17.11.2010,3465.95
18.11.2010,3506.33
19.11.2010,3515.76
22.11.2010,3498.53
23.11.2010,3467
24.11.2010,3522.69
25.11.2010,3542.8
26.11.2010,3530.8
29.11.2010,3501.46
30.11.2010,3525
01.12.2010,3605.63
02.12.2010,3673.27
03.12.2010,3710.66
06.12.2010,3758.5
07.12.2010,3765.83
08.12.2010,3705.41
09.12.2010,3727.79
10.12.2010,3716.89
13.12.2010,3726.71
14.12.2010,3734.01
15.12.2010,3741.63
16.12.2010,3717.81
17.12.2010,3731.38
20.12.2010,3719.22
21.12.2010,3741.91
22.12.2010,3760.23
23.12.2010,3763.19
24.12.2010,3742.44
27.12.2010,3711.19
28.12.2010,3723.77
29.12.2010,3751.12
30.12.2010,3773.19
11.01.2011,3839.15
12.01.2011,3938.08
13.01.2011,3913.38
14.01.2011,3899.22
17.01.2011,3950.43
18.01.2011,3933.28
19.01.2011,3928.4
20.01.2011,3857.46
21.01.2011,3884.55
24.01.2011,3816.55
25.01.2011,3803.79
26.01.2011,3868.05
27.01.2011,3876.16
28.01.2011,3836.69
31.01.2011,3802.42
01.02.2011,3871.28
02.02.2011,3891.07
03.02.2011,3855.54
04.02.2011,3891.36
07.02.2011,3889.84
08.02.2011,3805.63
09.02.2011,3790.91
10.02.2011,3687.48
11.02.2011,3768.16
14.02.2011,3752.95
15.02.2011,3724.56
16.02.2011,3748.03
17.02.2011,3715.76
18.02.2011,3708.58
21.02.2011,3755.82
22.02.2011,3729.24
24.02.2011,3758.32
25.02.2011,3828.52
28.02.2011,3891.26
01.03.2011,3847.72
02.03.2011,3862.15
03.03.2011,3877.68
04.03.2011,3859.7
05.03.2011,3893.15
09.03.2011,3887.04
10.03.2011,3782.64
11.03.2011,3756.02
14.03.2011,3768.67
15.03.2011,3710.67
16.03.2011,3720.05
17.03.2011,3790.07
18.03.2011,3810.47
21.03.2011,3820.98
22.03.2011,3794.39
23.03.2011,3857.3
24.03.2011,3910.63
25.03.2011,3936.12
28.03.2011,3941.24
29.03.2011,3890.94
30.03.2011,3949.9
31.03.2011,3944.75
01.04.2011,4008.85
04.04.2011,4025.8
05.04.2011,4016.95
06.04.2011,4041.96
07.04.2011,4007.36
08.04.2011,4032.09
11.04.2011,4008.23
12.04.2011,3908.12
13.04.2011,3929.03
14.04.2011,3867
15.04.2011,3863.95
18.04.2011,3718.47
19.04.2011,3808.1
20.04.2011,3867.74
21.04.2011,3861.15
22.04.2011,3889.57
25.04.2011,3835.84
26.04.2011,3827.37
27.04.2011,3780.61
28.04.2011,3790.24
29.04.2011,3772.79
03.05.2011,3661.47
04.05.2011,3587.51
05.05.2011,3559.64
06.05.2011,3637.17
10.05.2011,3628.71
11.05.2011,3577.65
