ADDRESS,BUY_AREA,RENT_AREA,ROOM_COUNT,SALES_PRICE,ANNUAL_RENT
Изюмская ул., 57к1,40,38,1,6600000,353684
Наташи Ковшовой ул., 17,38,5,37,1,7800000,362108
Вешняковская ул., 37,35,35,1,5800000,300000
Ходынская ул., 2,49,42,1,24000000,1400000
Боровское ш., 2к5,46,2,43,1,11300000,477042
Боровское ш., 2к5,46,43,1,9100000,474977
Шепелюгинская ул., 16,38,36,1,8500000,443333
Изюмская ул., 57к1,38,38,1,6800000,336000
Ходынская ул., 2,44,8,42,1,16280000,1280000
Изюмская ул., 57к1,38,38,1,7000000,336000
Просторная ул., 8,34,40,1,8941176,432000
Авиационная ул., 68,30,1,35,1,8488372,384000
Защитников Москвы пр-кт, 7к2,41,37,1,6450000,305838
Халтуринская ул., 18,21,20,1,5900000,315000
Ходынская ул., 2,42,7,42,1,12997000,1220000
Ходынская ул., 2,45,42,1,17690000,1285714
Ходынская ул., 2,43,5,42,1,14300000,1242857
Чертановская ул., 48к3,52,1,55,1,10556622,540000
Вяземская ул., 12к1,37,8,40,1,8253968,384000
Саратовская ул., 22,41,7,42,1,7856115,348000
Штурвальная ул., 7к1,30,7,33,1,7846906,408000
Онежская ул., 12,25,30,1,6600000,336000
Донецкая ул., 19,39,2,42,1,7820357,312000
Авиационная ул., 68,31,2,35,1,7852564,384000
Вешняковская ул., 37,35,8,35,1,6500000,306857
Уральская ул., 7,35,2,38,1,7125000,360000
Перерва ул., 12,39,40,1,7435897,396000
Кировоградская ул., 38К1,38,4,40,1,8229167,420000
Сходненская ул., 6к1,38,36,1,8900000,468667
Пятницкое ш., 16,38,40,1,6421053,384000
Авангардная ул., 16,36,40,1,7722222,480000
Донецкая ул., 19,39,42,1,6892308,312000
Кусковская ул., 1,38,2,38,1,7200000,398084
Воронежская ул., 48к1,40,40,1,7100000,384000
Халтуринская ул., 18,33,5,20,1,7500000,502500
Авангардная ул., 16,36,40,1,8055556,480000
Радиаторская 3-я ул., 11,37,38,1,8575676,432000
