ADDRESS,BUY_AREA,RENT_AREA,ROOM_COUNT,SALE_PRICE,RENT
Мурановская ул. 19,65.2,65,3,11300000,50154
Боровское ш. 2к5,46.2,43,1,11300000,39753
Красногвардейская 3-я ул. 3,260,130,3,55000000,240000
Кусковская ул. 1,38.2,38,1,7200000,33174
Богданова ул. 6к1,103,80,3,17400000,70813
Смоленская ул. 10,48.6,48,2,23000000,55688
Коптевская ул. 36,37,37,2,7600000,35000
Лавочкина ул. 34,75,110,2,20500000,46364
Алтуфьевское ш. 89,80,75,3,15000000,48000
Академика Миллионщикова ул. 31,51,56,2,11990000,36429
Академика Виноградова ул. 9,78,52,2,18300000,93000
Валовая ул. 8/18,60,56,2,18500000,107143
Медиков ул. 13,51,63,3,10000000,30762
Малахитовая ул. 6к2,47.4,48,2,10000000,46413
Онежская ул. 12,25,30,1,5500000,23333
Ходынская ул. 2,42.7,42,1,12997000,101667
Сходненская ул. 31,45,45,2,7700000,40000
Новгородская ул. 27,53.4,56,2,9700000,34329
Саранская ул. 7,51,51,2,10000000,35000
Авангардная ул. 16,36,40,1,7250000,36000
Новокуркинское ш. 51,78,110,3,15000000,46091
Удальцова ул. 6,57,90,3,16200000,46867
Пятницкое ш. 14,75,70,3,12000000,53571
Можайское ш. 2,136,150,3,25990000,90667
Раменки ул. 20,87,85,2,35000000,87000
Просторная ул. 8,34,40,1,7600000,30600
Можайское ш. 2,136,92,3,25990000,147826
Можайское ш. 2,235,190,3,48900000,333947
Байкальская ул. 15,45,54,2,7000000,37500
Авиационная ул. 68,31.2,35,1,7000000,28526
800-летия Москвы ул. 12,75,75,3,12400000,45000
Защитников Москвы пр-кт 7к2,41,37,1,6450000,25486
Вешняковская ул. 37,35.8,35,1,6500000,25571
Учинская ул. 3к1,56,56,2,10700000,38000
Изюмская ул. 46,61.6,62,2,11500000,45703
Покровская ул. 37,57.8,75,2,7550000,34680
Шарикоподшипниковская ул. 6/14,93,64,3,15450000,116250
Врубеля ул. 8,120,112,3,40000000,107143
Изюмская ул. 57к1,38,38,1,7000000,28000
Вяземская ул. 12к1,37.8,40,1,7800000,30240
Можайское ш. 2,140,150,3,36000000,93333
Можайское ш. 2,140,92,3,36000000,152174
Можайское ш. 2,136,176,3,25990000,170000
Коштоянца ул. 6,75,39,1,16000000,76923
Ягодная ул. 6,75.7,77,3,12950000,44240
Вешняковская ул. 37,35,35,1,5800000,25000
Римского-Корсакова ул. 1,71.7,71,3,11800000,55542
Ходынская ул. 2,43.5,42,1,14300000,103571
Каспийская ул. 20к3,44.4,47,2,7200000,39677
Карамышевская наб. 34,81.9,62,3,28820000,112282
Ращупкина ул. 6,45.2,45,2,9190000,35156
Сходненская ул. 6к1,38,36,1,8900000,39056
Винницкая ул. 5,61.4,56,3,13510000,60304
Машиностроения 1-я ул. 10,53,70,2,15700000,68143
Всеволода Вишневского ул. 10,54.5,60,2,13500000,40875
Яблочкова ул. 16,77,90,2,25000000,55611
Можайское ш. 2,136,190,3,25990000,193263
Дмитриевского ул. 17,86,79,3,12400000,53342
Смоленская ул. 10,48,48,2,23000000,55000
Казакова ул. 27,68.5,55,2,29900000,74727
Полбина ул. 60,44,45,2,6990000,35200
Ходынская ул. 2,44.8,42,1,16280000,106667
Старокаширское ш. 4к1,53,54,2,11300000,35333
Боровское ш. 2к5,46,43,1,9100000,39581
Авиационная ул. 63,61,52,2,14500000,72731
Покровская ул. 23,52.3,54,2,9100000,33898
Изюмская ул. 57к1,38,38,1,6800000,28000
Пятницкое ш. 16,38,40,1,6100000,30400
Изюмская ул. 46,61.6,64,2,11500000,36575
Авангардная ул. 16,36,40,1,6950000,36000
Донецкая ул. 19,39,42,1,6400000,24143
Академика Пилюгина ул. 4,70.8,78,2,20500000,59000
Курганская ул. 10,52,52,2,8300000,35000
Красногвардейская 3-я ул. 3,97,130,3,25900000,89538
Академика Виноградова ул. 9,78,54,2,18300000,72222
Можайское ш. 2,100,57,2,24000000,131579
Можайское ш. 2,235,92,3,48900000,255435
Южнобутовская ул. 61,78.8,70,2,11500000,56286
Нелидовская ул. 25,56.1,48,2,8400000,46750
Воронежская ул. 48к1,40,40,1,7100000,32000
Симоновский Вал ул. 15,46.3,45,2,10150000,56589
Саратовская ул. 22,41.7,42,1,7800000,28793
Ходынская ул. 2,49,42,1,24000000,116667
Главмосстроя ул. 10,54,36,1,9500000,51000
Перерва ул. 12,39,40,1,7250000,32175
Чертановская ул. 48к3,52.1,55,1,10000000,42627
Ленинградское ш. 22,37.9,42,2,8300000,33388
Святоозерская ул. 13,54,51,2,9150000,37059
Красногвардейская 3-я ул. 3,128.2,130,3,36411000,118338
Пятницкое ш. 14,74,70,3,12000000,52857
Шепелюгинская ул. 16,38,35,1,8500000,34743
Можайское ш. 2,140,190,3,36000000,198947
Лукинская ул. 11,54,55,2,10450000,34364
Фрунзенская 2-я ул. 10,42,45,2,15000000,74667
Академика Анохина ул. 56,88.3,95,3,19400000,74358
Ленинградское ш. 22,37.9,46,2,8300000,30485
Степана Супруна ул. 4,59,62,2,15100000,40919
Новгородская ул. 27,53.4,54,2,9700000,39556
Симоновский Вал ул. 15,43,45,2,11300000,52556
Халтуринская ул. 18,21,20,1,5900000,26250
Шепелюгинская ул. 16,38,36,1,8500000,36944
Кировоградская ул. 38К1,38.4,40,1,7900000,33600
Новодмитровская ул. 2к6,58,71,2,17900000,73521
