STOCK_NAME,STOCK_DATE,AMT
Сбербанк,01.01.2005,   4.255037
Сбербанк,02.01.2005,   4.251488
Сбербанк,03.01.2005,   4.247943
Сбербанк,04.01.2005,   4.244400
Сбербанк,05.01.2005,   4.240861
Сбербанк,06.01.2005,   4.237324
Сбербанк,07.01.2005,   4.233791
Сбербанк,08.01.2005,   4.230260
Сбербанк,09.01.2005,   4.226732
Сбербанк,10.01.2005,   4.223207
Сбербанк,11.01.2005,   4.293992
Сбербанк,12.01.2005,   4.243128
Сбербанк,13.01.2005,   4.227778
Сбербанк,14.01.2005,   4.189756
Сбербанк,15.01.2005,   4.186262
Сбербанк,16.01.2005,   4.182771
Сбербанк,17.01.2005,   4.106539
Сбербанк,18.01.2005,   4.085011
Сбербанк,19.01.2005,   4.089146
Сбербанк,20.01.2005,   4.039068
Сбербанк,21.01.2005,   4.061274
Сбербанк,22.01.2005,   4.057887
Сбербанк,23.01.2005,   4.054503
Сбербанк,24.01.2005,   4.126139
Сбербанк,25.01.2005,   4.189861
Сбербанк,26.01.2005,   4.197152
Сбербанк,27.01.2005,   4.199040
Сбербанк,28.01.2005,   4.276889
Сбербанк,29.01.2005,   4.273322
Сбербанк,30.01.2005,   4.269758
Сбербанк,31.01.2005,   4.265750
Сбербанк,01.02.2005,   4.338652
Сбербанк,02.02.2005,   4.338248
Сбербанк,03.02.2005,   4.386991
Сбербанк,04.02.2005,   4.402932
Сбербанк,05.02.2005,   4.401010
Сбербанк,06.02.2005,   4.399089
Сбербанк,07.02.2005,   4.444708
Сбербанк,08.02.2005,   4.468057
Сбербанк,09.02.2005,   4.476527
Сбербанк,10.02.2005,   4.477222
Сбербанк,11.02.2005,   4.522130
Сбербанк,12.02.2005,   4.520156
Сбербанк,13.02.2005,   4.518183
Сбербанк,14.02.2005,   4.596269
Сбербанк,15.02.2005,   4.639295
Сбербанк,16.02.2005,   4.569454
Сбербанк,17.02.2005,   4.577820
Сбербанк,18.02.2005,   4.600971
Сбербанк,19.02.2005,   4.598963
Сбербанк,20.02.2005,   4.596956
Сбербанк,21.02.2005,   4.581947
Сбербанк,22.02.2005,   4.625434
Сбербанк,23.02.2005,   4.623414
