STOCK_NAME,STOCK_DATE,PRICE
Сбербанк,08.01.2002,   2.360000
Сбербанк,09.01.2002,   2.330010
Сбербанк,10.01.2002,   2.311000
Сбербанк,11.01.2002,   2.332050
Сбербанк,12.01.2002,   2.332050
Сбербанк,13.01.2002,   2.332050
Сбербанк,14.01.2002,   2.311870
Сбербанк,15.01.2002,   2.458990
Сбербанк,16.01.2002,   2.518000
Сбербанк,17.01.2002,   2.690000
Сбербанк,18.01.2002,   2.780000
Сбербанк,19.01.2002,   2.780000
Сбербанк,20.01.2002,   2.780000
Сбербанк,21.01.2002,   2.734020
Сбербанк,22.01.2002,   2.747000
Сбербанк,23.01.2002,   2.705000
Сбербанк,24.01.2002,   2.560000
Сбербанк,25.01.2002,   2.418000
Сбербанк,26.01.2002,   2.418000
Сбербанк,27.01.2002,   2.418000
Сбербанк,28.01.2002,   2.445000
Сбербанк,29.01.2002,   2.672000
Сбербанк,30.01.2002,   2.500000
Сбербанк,31.01.2002,   2.569480
Сбербанк,01.02.2002,   2.555000
Сбербанк,02.02.2002,   2.555000
Сбербанк,03.02.2002,   2.555000
Сбербанк,04.02.2002,   2.460000
Сбербанк,05.02.2002,   2.480000
Сбербанк,06.02.2002,   2.516000
Сбербанк,07.02.2002,   2.550000
Сбербанк,08.02.2002,   2.566000
Сбербанк,09.02.2002,   2.566000
Сбербанк,10.02.2002,   2.566000
Сбербанк,11.02.2002,   2.685000
Сбербанк,12.02.2002,   2.690000
Сбербанк,13.02.2002,   2.716790
Сбербанк,14.02.2002,   2.716000
Сбербанк,15.02.2002,   2.682000
Сбербанк,16.02.2002,   2.682000
Сбербанк,17.02.2002,   2.682000
Сбербанк,18.02.2002,   2.678000
Сбербанк,19.02.2002,   2.671990
Сбербанк,20.02.2002,   2.633000
Сбербанк,21.02.2002,   2.669970
Сбербанк,22.02.2002,   2.760000
Сбербанк,23.02.2002,   2.760000
Сбербанк,24.02.2002,   2.760000
Сбербанк,25.02.2002,   2.760000
Сбербанк,26.02.2002,   2.781000
Сбербанк,27.02.2002,   2.766500
Сбербанк,28.02.2002,   2.749800
Сбербанк,01.03.2002,   2.898000
Сбербанк,02.03.2002,   2.898000
Сбербанк,03.03.2002,   2.898000
Сбербанк,04.03.2002,   2.931000
Сбербанк,05.03.2002,   2.933000
Сбербанк,06.03.2002,   2.890000
Сбербанк,07.03.2002,   2.995550
Сбербанк,08.03.2002,   2.995550
Сбербанк,09.03.2002,   2.995550
Сбербанк,10.03.2002,   2.995550
Сбербанк,11.03.2002,   2.990000
Сбербанк,12.03.2002,   2.957000
Сбербанк,13.03.2002,   3.001000
Сбербанк,14.03.2002,   3.049000
Сбербанк,15.03.2002,   3.239880
Сбербанк,16.03.2002,   3.239880
Сбербанк,17.03.2002,   3.239880
Сбербанк,18.03.2002,   3.372000
Сбербанк,19.03.2002,   3.352000
Сбербанк,20.03.2002,   3.334990
Сбербанк,21.03.2002,   3.480000
Сбербанк,22.03.2002,   3.812000
Сбербанк,23.03.2002,   3.812000
Сбербанк,24.03.2002,   3.812000
Сбербанк,25.03.2002,   3.710000
Сбербанк,26.03.2002,   3.823980
Сбербанк,27.03.2002,   4.108000
Сбербанк,28.03.2002,   4.285000
Сбербанк,29.03.2002,   4.280000
Сбербанк,30.03.2002,   4.280000
Сбербанк,31.03.2002,   4.280000
Сбербанк,01.04.2002,   4.310990
Сбербанк,02.04.2002,   4.342000
Сбербанк,03.04.2002,   4.303100
Сбербанк,04.04.2002,   4.459000
Сбербанк,05.04.2002,   4.620000
Сбербанк,06.04.2002,   4.620000
Сбербанк,07.04.2002,   4.620000
Сбербанк,08.04.2002,   4.706000
Сбербанк,09.04.2002,   4.859990
Сбербанк,10.04.2002,   5.073000
Сбербанк,11.04.2002,   5.001000
Сбербанк,12.04.2002,   4.690000
Сбербанк,13.04.2002,   4.690000
Сбербанк,14.04.2002,   4.690000
Сбербанк,15.04.2002,   4.615000
Сбербанк,16.04.2002,   4.813000
Сбербанк,17.04.2002,   5.045000
Сбербанк,18.04.2002,   5.090000
Сбербанк,19.04.2002,   5.195000
Сбербанк,20.04.2002,   5.195000
Сбербанк,21.04.2002,   5.195000
Сбербанк,22.04.2002,   5.269000
Сбербанк,23.04.2002,   5.230000
Сбербанк,24.04.2002,   5.364000
Сбербанк,25.04.2002,   5.475000
Сбербанк,26.04.2002,   5.444970
Сбербанк,27.04.2002,   5.430000
Сбербанк,28.04.2002,   5.430000
Сбербанк,29.04.2002,   5.380000
Сбербанк,30.04.2002,   5.305000
Сбербанк,01.05.2002,   5.305000
Сбербанк,02.05.2002,   5.305000
Сбербанк,03.05.2002,   5.305000
Сбербанк,04.05.2002,   5.305000
Сбербанк,05.05.2002,   5.305000
Сбербанк,06.05.2002,   5.290000
Сбербанк,07.05.2002,   4.971990
Сбербанк,08.05.2002,   5.430000
Сбербанк,09.05.2002,   5.430000
Сбербанк,10.05.2002,   5.430000
Сбербанк,11.05.2002,   5.430000
Сбербанк,12.05.2002,   5.430000
Сбербанк,13.05.2002,   5.455000
Сбербанк,14.05.2002,   5.430000
Сбербанк,15.05.2002,   5.429000
Сбербанк,16.05.2002,   5.478000
Сбербанк,17.05.2002,   5.577000
Сбербанк,18.05.2002,   5.690000
Сбербанк,19.05.2002,   5.690000
Сбербанк,20.05.2002,   5.620000
Сбербанк,21.05.2002,   5.740000
Сбербанк,22.05.2002,   5.724950
Сбербанк,23.05.2002,   5.740000
Сбербанк,24.05.2002,   5.640000
Сбербанк,25.05.2002,   5.640000
Сбербанк,26.05.2002,   5.640000
Сбербанк,27.05.2002,   5.650000
Сбербанк,28.05.2002,   5.410000
Сбербанк,29.05.2002,   5.359900
Сбербанк,30.05.2002,   5.288000
Сбербанк,31.05.2002,   5.391000
Сбербанк,01.06.2002,   5.391000
Сбербанк,02.06.2002,   5.391000
Сбербанк,03.06.2002,   5.420000
Сбербанк,04.06.2002,   5.345000
Сбербанк,05.06.2002,   5.300000
Сбербанк,06.06.2002,   5.377010
Сбербанк,07.06.2002,   5.360000
Сбербанк,08.06.2002,   5.360000
Сбербанк,09.06.2002,   5.360000
Сбербанк,10.06.2002,   5.510000
Сбербанк,11.06.2002,   5.699000
Сбербанк,12.06.2002,   5.699000
Сбербанк,13.06.2002,   5.630000
Сбербанк,14.06.2002,   5.620000
Сбербанк,15.06.2002,   5.620000
Сбербанк,16.06.2002,   5.620000
Сбербанк,17.06.2002,   5.632000
Сбербанк,18.06.2002,   5.416800
Сбербанк,19.06.2002,   5.404000
Сбербанк,20.06.2002,   5.400000
Сбербанк,21.06.2002,   5.400000
Сбербанк,22.06.2002,   5.400000
Сбербанк,23.06.2002,   5.400000
Сбербанк,24.06.2002,   5.306000
Сбербанк,25.06.2002,   5.376900
Сбербанк,26.06.2002,   5.261000
Сбербанк,27.06.2002,   5.380000
Сбербанк,28.06.2002,   5.299000
Сбербанк,29.06.2002,   5.299000
Сбербанк,30.06.2002,   5.299000
Сбербанк,01.07.2002,   5.385100
Сбербанк,02.07.2002,   5.370000
Сбербанк,03.07.2002,   5.329800
Сбербанк,04.07.2002,   5.338980
Сбербанк,05.07.2002,   5.371000
Сбербанк,06.07.2002,   5.371000
Сбербанк,07.07.2002,   5.371000
Сбербанк,08.07.2002,   5.348000
Сбербанк,09.07.2002,   5.335010
Сбербанк,10.07.2002,   5.320500
Сбербанк,11.07.2002,   5.251510
Сбербанк,12.07.2002,   5.265200
Сбербанк,13.07.2002,   5.265200
Сбербанк,14.07.2002,   5.265200
Сбербанк,15.07.2002,   5.295000
Сбербанк,16.07.2002,   5.200000
Сбербанк,17.07.2002,   5.285000
Сбербанк,18.07.2002,   5.300000
Сбербанк,19.07.2002,   5.225000
Сбербанк,20.07.2002,   5.225000
Сбербанк,21.07.2002,   5.225000
Сбербанк,22.07.2002,   5.100000
Сбербанк,23.07.2002,   5.098000
Сбербанк,24.07.2002,   4.830000
Сбербанк,25.07.2002,   4.900000
